Stock_Name,Date,Time,Open,High,Low,Close,Price,Volume,Percent_Change
"NESTLEIND","17 November, 2021","14:45:08",19404,19565,19363,19462.1,19556.4,32994,0.48
"NESTLEIND","17 November, 2021","14:47:10",19404,19565,19363,19462.1,19555.9,33393,0.48
"NESTLEIND","17 November, 2021","14:49:09",19404,19565,19363,19462.1,19550,33856,0.45
"NESTLEIND","17 November, 2021","14:51:10",19404,19565,19363,19462.1,19482,36790,0.1
"NESTLEIND","17 November, 2021","14:53:08",19404,19565,19363,19462.1,19468.55,37376,0.03
"NESTLEIND","17 November, 2021","14:55:08",19404,19565,19363,19462.1,19469.85,37637,0.04
"NESTLEIND","17 November, 2021","14:57:08",19404,19565,19363,19462.1,19466.75,37806,0.02
"NESTLEIND","17 November, 2021","14:59:08",19404,19565,19363,19462.1,19462.55,37973,0
"NESTLEIND","17 November, 2021","15:01:09",19404,19565,19363,19462.1,19475,38500,0.07
"NESTLEIND","17 November, 2021","15:03:09",19404,19565,19363,19462.1,19474.95,39086,0.07
"NESTLEIND","17 November, 2021","15:05:09",19404,19565,19363,19462.1,19450,40133,-0.06
"NESTLEIND","17 November, 2021","15:07:09",19404,19565,19363,19462.1,19446.35,40580,-0.08
"NESTLEIND","17 November, 2021","15:09:16",19404,19565,19363,19462.1,19439.95,42422,-0.11
"NESTLEIND","17 November, 2021","15:11:09",19404,19565,19363,19462.1,19451.2,42912,-0.06
"NESTLEIND","17 November, 2021","15:13:09",19404,19565,19363,19462.1,19500,44928,0.19
"NESTLEIND","17 November, 2021","15:15:17",19404,19565,19363,19462.1,19481.8,47355,0.1
"NESTLEIND","17 November, 2021","15:17:09",19404,19565,19363,19462.1,19458.05,47750,-0.02
"NESTLEIND","17 November, 2021","15:19:09",19404,19565,19363,19462.1,19481.95,50099,0.1
"NESTLEIND","17 November, 2021","15:21:20",19404,19565,19363,19462.1,19500.15,52275,0.2
"NESTLEIND","17 November, 2021","15:23:08",19404,19565,19363,19462.1,19491.5,52758,0.15
"NESTLEIND","17 November, 2021","15:25:07",19404,19565,19363,19462.1,19462.45,53454,0
"NESTLEIND","17 November, 2021","15:27:07",19404,19565,19363,19462.1,19475,53879,0.07
"NESTLEIND","17 November, 2021","15:31:30",19404,19565,19363,19462.1,19477.05,54281,0.08
"NESTLEIND","17 November, 2021","16:16:59",19404,19565,19363,19462.1,19477.05,54276,0.08
"NESTLEIND","18 November, 2021","09:15:06",19400,19407.85,19400,19477.05,19407.85,84,-0.36
"NESTLEIND","18 November, 2021","09:17:04",19400,19451.9,19372.65,19477.05,19422.35,639,-0.28
"NESTLEIND","18 November, 2021","09:19:04",19400,19454.05,19372.65,19477.05,19424,805,-0.27
"NESTLEIND","18 November, 2021","09:21:04",19400,19469.75,19372.65,19477.05,19454.05,1069,-0.12
"NESTLEIND","18 November, 2021","09:23:05",19400,19469.75,19372.65,19477.05,19439.4,1142,-0.19
"NESTLEIND","18 November, 2021","09:25:04",19400,19469.8,19372.65,19477.05,19436.7,1377,-0.21
"NESTLEIND","18 November, 2021","09:27:03",19400,19469.8,19372.65,19477.05,19430,1487,-0.24
"NESTLEIND","18 November, 2021","09:29:04",19400,19469.8,19372.65,19477.05,19416.2,1522,-0.31
"NESTLEIND","18 November, 2021","09:31:04",19400,19469.8,19372.65,19477.05,19400.8,1685,-0.39
"NESTLEIND","18 November, 2021","09:33:07",19400,19469.8,19372.65,19477.05,19463.15,1902,-0.07
"NESTLEIND","18 November, 2021","09:35:04",19400,19488.8,19372.65,19477.05,19486.8,2164,0.05
"NESTLEIND","18 November, 2021","09:37:05",19400,19488.8,19372.65,19477.05,19445.3,2379,-0.16
"NESTLEIND","18 November, 2021","09:39:04",19400,19488.8,19372.65,19477.05,19435.1,2491,-0.22
"NESTLEIND","18 November, 2021","09:41:04",19400,19488.8,19372.65,19477.05,19390.1,2690,-0.45
"NESTLEIND","18 November, 2021","09:43:04",19400,19488.8,19372.65,19477.05,19390.85,2789,-0.44
"NESTLEIND","18 November, 2021","09:45:04",19400,19488.8,19372.65,19477.05,19399.05,2861,-0.4
"NESTLEIND","18 November, 2021","09:47:04",19400,19488.8,19372.65,19477.05,19391.2,2906,-0.44
